City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Manta,EC,2022-01-28 00:24:59,-0.95,-80.7333,76.78,88,100,4.61
67,Husavik,IS,2022-01-28 00:25:27,66.0449,-17.3389,33.71,81,100,14.92
68,Lixourion,GR,2022-01-28 00:25:28,38.2019,20.4314,47.57,68,9,8.46
69,Qaanaaq,GL,2022-01-28 00:22:59,77.484,-69.3632,-9.76,71,39,7.56
70,Bilma,NE,2022-01-28 00:25:28,18.6853,12.9164,57.2,27,63,8.43
71,Qaqortoq,GL,2022-01-28 00:25:29,60.7167,-46.0333,18.1,88,16,5.23
72,Atambua,ID,2022-01-28 00:25:29,-9.1061,124.8925,77.27,81,100,1.86
73,Tual,ID,2022-01-28 00:23:55,-5.6667,132.75,84.16,72,96,8.84
74,Voyinka,UA,2022-01-28 00:25:30,45.8699,33.9914,26.37,89,78,9.6
75,Souillac,MU,2022-01-28 00:25:30,-20.5167,57.5167,73.78,83,40,5.75
76,Naze,JP,2022-01-28 00:24:40,28.3667,129.4833,59.92,80,92,9.28
77,Kuah,MY,2022-01-28 00:25:30,6.3265,99.8432,78.78,78,20,2.3
78,Saint Anthony,US,2022-01-28 00:25:31,45.0205,-93.218,17.53,50,0,9.22
79,Trincomalee,LK,2022-01-28 00:25:31,8.5711,81.2335,77.67,76,88,9.46
80,Namatanai,PG,2022-01-28 00:22:26,-3.6667,152.4333,85.66,66,77,5.32
81,Mar Del Plata,AR,2022-01-28 00:25:32,-38.0023,-57.5575,63.09,73,0,1.01
82,Sao Joao Da Barra,BR,2022-01-28 00:25:32,-21.6403,-41.0511,76.39,88,4,17.09
83,Cherskiy,RU,2022-01-28 00:25:32,68.75,161.3,-36.33,96,54,1.92
84,Vila Velha,BR,2022-01-28 00:25:33,-20.3297,-40.2925,78.94,84,0,14.0
85,Sestri Levante,IT,2022-01-28 00:25:33,44.2732,9.3968,55.31,83,95,1.99
86,Lorengau,PG,2022-01-28 00:25:34,-2.0226,147.2712,84.58,69,63,5.75
87,Ojinaga,MX,2022-01-28 00:25:34,29.5667,-104.4167,61.57,54,0,0.0
