City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
59,Lebu,CL,2022-01-29 19:16:00,-37.6167,-73.65,64.9,74,3,8.52,clear sky
60,Cape Town,ZA,2022-01-29 19:14:11,-33.9258,18.4232,68.34,74,0,5.99,clear sky
61,Esperance,AU,2022-01-29 19:16:03,-33.8667,121.9,65.37,76,0,14.9,clear sky
62,Pevek,RU,2022-01-29 19:16:03,69.7008,170.3133,-15.81,99,98,2.08,overcast clouds
63,Lamar,US,2022-01-29 19:16:04,33.6668,-95.5836,64.36,29,0,10.36,clear sky
64,Norman Wells,CA,2022-01-29 19:12:54,65.282,-126.8329,-27.15,99,38,3.02,scattered clouds
65,Arraial Do Cabo,BR,2022-01-29 19:16:04,-22.9661,-42.0278,84.16,78,40,12.66,thunderstorm
66,Chimore,BO,2022-01-29 19:11:12,-16.9833,-65.1333,76.28,86,100,1.1,overcast clouds
67,Ponta Do Sol,PT,2022-01-29 19:23:54,32.6667,-17.1,65.03,67,9,4.38,clear sky
68,Nouakchott,MR,2022-01-29 19:16:05,18.0858,-15.9785,69.73,60,100,16.42,overcast clouds
69,Sambava,MG,2022-01-29 19:16:05,-14.2667,50.1667,78.37,84,16,11.07,few clouds
70,Talnakh,RU,2022-01-29 19:16:06,69.4865,88.3972,-0.45,97,100,10.04,overcast clouds
71,Saint-Augustin,CA,2022-01-29 19:16:07,51.226,-58.6502,8.26,79,100,13.15,overcast clouds
72,Port Alfred,ZA,2022-01-29 19:23:54,-33.5906,26.891,70.41,77,41,13.38,scattered clouds
73,Areia Branca,BR,2022-01-29 19:16:07,-4.9561,-37.1369,88.0,62,94,6.76,overcast clouds
74,Hobart,AU,2022-01-29 19:13:07,-42.8794,147.3294,60.66,67,100,8.05,overcast clouds
75,Rassvet,RU,2022-01-29 19:16:08,46.8333,40.75,33.91,100,100,18.12,overcast clouds
76,Vao,NC,2022-01-29 19:16:08,-22.6667,167.4833,78.31,86,98,10.04,overcast clouds
77,Ossora,RU,2022-01-29 19:16:08,59.2353,163.0719,25.83,96,100,21.68,snow
78,Port Macquarie,AU,2022-01-29 19:16:09,-31.4333,152.9167,66.88,100,100,0.0,overcast clouds
79,Zarautz,ES,2022-01-29 19:16:09,43.2844,-2.1699,48.34,87,0,2.71,clear sky
80,Castro,BR,2022-01-29 19:16:09,-24.7911,-50.0119,60.8,98,100,5.32,overcast clouds
81,Sobolevo,RU,2022-01-29 19:16:09,54.4299,31.8996,23.18,93,100,7.92,overcast clouds
82,Bandarbeyla,SO,2022-01-29 19:16:10,9.4942,50.8122,76.15,68,81,22.86,broken clouds
83,Bambous Virieux,MU,2022-01-29 19:16:10,-20.3428,57.7575,80.85,78,40,8.05,scattered clouds
84,Oriximina,BR,2022-01-29 19:16:10,-1.7656,-55.8661,75.38,96,100,4.92,overcast clouds
85,Tuktoyaktuk,CA,2022-01-29 19:16:11,69.4541,-133.0374,-9.4,77,75,16.11,light snow
86,Tlaltizapan,MX,2022-01-29 19:16:11,18.6833,-99.1167,81.32,31,0,2.24,clear sky
87,Bluff,NZ,2022-01-29 19:16:11,-46.6,168.3333,61.81,88,100,6.85,light rain
88,Parana,AR,2022-01-29 19:16:12,-31.732,-60.5238,90.57,39,0,4.99,clear sky
89,Kungurtug,RU,2022-01-29 19:16:12,50.5994,97.5228,-21.57,98,68,1.48,broken clouds
90,Yumen,CN,2022-01-29 19:16:13,40.2833,97.2,15.31,58,1,4.97,clear sky
91,Coihaique,CL,2022-01-29 19:16:03,-45.5752,-72.0662,68.61,42,40,10.36,scattered clouds
92,Saldanha,ZA,2022-01-29 19:13:22,-33.0117,17.9442,65.93,83,0,20.65,clear sky
93,Kodiak,US,2022-01-29 19:16:13,57.79,-152.4072,31.51,64,75,19.57,broken clouds
94,Morehead,US,2022-01-29 19:16:13,37.2711,-87.1764,34.84,59,75,1.99,broken clouds
95,Vangaindrano,MG,2022-01-29 19:17:14,-23.35,47.6,74.05,83,39,4.47,scattered clouds
96,Sisimiut,GL,2022-01-29 19:17:14,66.9395,-53.6735,10.13,89,100,27.13,snow
97,Khatanga,RU,2022-01-29 19:17:15,71.9667,102.5,-4.16,99,100,5.01,overcast clouds
98,Touros,BR,2022-01-29 19:24:57,-5.1989,-35.4608,83.3,70,100,10.67,overcast clouds
99,Mount Gambier,AU,2022-01-29 19:24:57,-37.8333,140.7667,62.51,88,100,9.22,overcast clouds
100,Weihai,CN,2022-01-29 19:17:16,37.5017,122.1136,32.22,47,99,14.34,overcast clouds
101,Tabas,IR,2022-01-29 19:24:58,33.5959,56.9244,47.66,27,3,1.81,clear sky
